matrix,split,rows,cols,nnz,reference_status,reference_backend,reference_total_s,density_1024_entropy_norm,density_1024_std,density_1024_gini,density_1024_sum,density_1024_backend,density_1024_build_s,density_1024_compute_s,density_1024_total_s,method,normalization,resolution,density_ratio,curve_index,status,compress_backend,compress_s,fft_s,interp_s,total_s,log_mae_interp,entropy_error_interp,radial_error_interp,entropy_error_direct,radial_error_direct,sample_fraction,sample_axis_rows,sample_axis_cols,sample_count,backend,sample_s,compute_s,note
CurlCurl_0,full_eval,11083,11083,113343,ok,gpu,0.1622518771328032,0.6434715896391289,0.012499402997865512,0.9944377171647949,967.8921508789062,gpu,1.4191454739775509,0.13780521717853844,1.557183210970834,density_fft,none,5542,0.5,0,ok,gpu,0.0013350320514291525,0.06093326606787741,0.40403151186183095,0.4664628552272916,1.1899570226669312,0.0033702850341796875,0.0017878714413327884,0.009654998779296875,0.0017825389051463747,,,,,,,,
CurlCurl_0,full_eval,11083,11083,113343,ok,gpu,0.1622518771328032,0.6434715896391289,0.012499402997865512,0.9944377171647949,967.8921508789062,gpu,1.4191454739775509,0.13780521717853844,1.557183210970834,density_fft,mass,5542,0.5,0,ok,gpu,0.0013350320514291525,0.014423985965549946,0.3411554179619998,0.3608659680467099,0.9226430654525757,0.010107040405273438,0.001556415572758367,0.006641387939453125,0.0015541466313448871,,,,,,,,
CurlCurl_0,full_eval,11083,11083,113343,ok,gpu,0.1622518771328032,0.6434715896391289,0.012499402997865512,0.9944377171647949,967.8921508789062,gpu,1.4191454739775509,0.13780521717853844,1.557183210970834,density_fft,unit,5542,0.5,0,ok,gpu,0.0013350320514291525,0.014429797185584903,0.3409820138476789,0.3569562879856676,4.3480377197265625,0.5245418548583984,0.007580720371066944,0.5789909362792969,0.007561695542279178,,,,,,,,
CurlCurl_0,full_eval,11083,11083,113343,ok,gpu,0.1622518771328032,0.6434715896391289,0.012499402997865512,0.9944377171647949,967.8921508789062,gpu,1.4191454739775509,0.13780521717853844,1.557183210970834,density_fft,none,4156,0.375,1,ok,gpu,0.005334867862984538,0.06485837697982788,0.2932197309564799,0.3635387788526714,1.4674432277679443,0.0027618408203125,0.002610762422906379,0.0173187255859375,0.0026092696759307654,,,,,,,,
CurlCurl_0,full_eval,11083,11083,113343,ok,gpu,0.1622518771328032,0.6434715896391289,0.012499402997865512,0.9944377171647949,967.8921508789062,gpu,1.4191454739775509,0.13780521717853844,1.557183210970834,density_fft,mass,4156,0.375,1,ok,gpu,0.005334867862984538,0.007011299952864647,0.29408250912092626,0.3066163999028504,1.091966986656189,0.01406097412109375,0.002181102034356406,0.005096435546875,0.0021795789508404473,,,,,,,,
CurlCurl_0,full_eval,11083,11083,113343,ok,gpu,0.1622518771328032,0.6434715896391289,0.012499402997865512,0.9944377171647949,967.8921508789062,gpu,1.4191454739775509,0.13780521717853844,1.557183210970834,density_fft,unit,4156,0.375,1,ok,gpu,0.005334867862984538,0.0070377199444919825,0.2940103900618851,0.3065508739091456,4.347699165344238,0.4454326629638672,0.006755150293120374,0.5252761840820312,0.006753344846403532,,,,,,,,
CurlCurl_0,full_eval,11083,11083,113343,ok,gpu,0.1622518771328032,0.6434715896391289,0.012499402997865512,0.9944377171647949,967.8921508789062,gpu,1.4191454739775509,0.13780521717853844,1.557183210970834,density_fft,none,2771,0.25,2,ok,gpu,0.002571532968431711,0.06338292290456593,0.2602897440083325,0.3263333321083337,2.032475709915161,0.021436691284179688,0.003674451752311594,0.03954887390136719,0.0036957491577255795,,,,,,,,
CurlCurl_0,full_eval,11083,11083,113343,ok,gpu,0.1622518771328032,0.6434715896391289,0.012499402997865512,0.9944377171647949,967.8921508789062,gpu,1.4191454739775509,0.13780521717853844,1.557183210970834,density_fft,mass,2771,0.25,2,ok,gpu,0.002571532968431711,0.0012168430257588625,0.2604216889012605,0.2643603349570185,1.0922602415084839,0.012880325317382812,0.0029025846444139256,0.004244804382324219,0.0029247321912485025,,,,,,,,
CurlCurl_0,full_eval,11083,11083,113343,ok,gpu,0.1622518771328032,0.6434715896391289,0.012499402997865512,0.9944377171647949,967.8921508789062,gpu,1.4191454739775509,0.13780521717853844,1.557183210970834,density_fft,unit,2771,0.25,2,ok,gpu,0.002571532968431711,0.0012280349619686604,0.2603665520437062,0.264298815978691,4.347540855407715,0.5194129943847656,0.007669886099854001,0.6012554168701172,0.007680754321737343,,,,,,,,
CurlCurl_0,full_eval,11083,11083,113343,ok,gpu,0.1622518771328032,0.6434715896391289,0.012499402997865512,0.9944377171647949,967.8921508789062,gpu,1.4191454739775509,0.13780521717853844,1.557183210970834,density_fft,none,2078,0.1875,3,ok,gpu,0.0025536390021443367,0.057213691994547844,0.2481262288056314,0.3079674930777401,2.386016607284546,0.028806686401367188,0.002974423694337029,0.051033973693847656,0.002984042382139852,,,,,,,,
CurlCurl_0,full_eval,11083,11083,113343,ok,gpu,0.1622518771328032,0.6434715896391289,0.012499402997865512,0.9944377171647949,967.8921508789062,gpu,1.4191454739775509,0.13780521717853844,1.557183210970834,density_fft,mass,2078,0.1875,3,ok,gpu,0.0025536390021443367,0.0008336328901350498,0.24862232920713723,0.25214564288035035,1.1722356081008911,0.014667510986328125,0.0021935004951539124,0.0059947967529296875,0.0022042459772913807,,,,,,,,
CurlCurl_0,full_eval,11083,11083,113343,ok,gpu,0.1622518771328032,0.6434715896391289,0.012499402997865512,0.9944377171647949,967.8921508789062,gpu,1.4191454739775509,0.13780521717853844,1.557183210970834,density_fft,unit,2078,0.1875,3,ok,gpu,0.0025536390021443367,0.0008233820553869009,0.24859776115044951,0.25209275004453957,4.347283363342285,0.5111274719238281,0.00850475134667407,0.5995397567749023,0.00851570898145689,,,,,,,,
CurlCurl_0,full_eval,11083,11083,113343,ok,gpu,0.1622518771328032,0.6434715896391289,0.012499402997865512,0.9944377171647949,967.8921508789062,gpu,1.4191454739775509,0.13780521717853844,1.557183210970834,density_fft,none,1385,0.125,4,ok,gpu,0.0024660800117999315,0.06559886899776757,0.2402122940402478,0.3083517469931394,2.9768013954162598,0.070281982421875,0.006441205828851901,0.09880542755126953,0.0064109204615180725,,,,,,,,
CurlCurl_0,full_eval,11083,11083,113343,ok,gpu,0.1622518771328032,0.6434715896391289,0.012499402997865512,0.9944377171647949,967.8921508789062,gpu,1.4191454739775509,0.13780521717853844,1.557183210970834,density_fft,mass,1385,0.125,4,ok,gpu,0.0024660800117999315,0.00033914600498974323,0.24031323799863458,0.24325268412940204,1.202940821647644,0.012907028198242188,0.003189712969639566,0.004492759704589844,0.003163698811544785,,,,,,,,
