split,method,normalization,resolution,curve_index,density_ratio,sample_fraction,sample_axis_rows,sample_axis_cols,sample_count,log_mae_interp_count,log_mae_interp_mean,log_mae_interp_median,log_mae_interp_std,entropy_error_interp_count,entropy_error_interp_mean,entropy_error_interp_median,entropy_error_interp_std,entropy_error_direct_count,entropy_error_direct_mean,entropy_error_direct_median,entropy_error_direct_std,radial_error_interp_count,radial_error_interp_mean,radial_error_interp_median,radial_error_interp_std,radial_error_direct_count,radial_error_direct_mean,radial_error_direct_median,radial_error_direct_std,compress_s_mean,compress_s_median,fft_s_mean,fft_s_median,interp_s_mean,interp_s_median,compute_s_mean,compute_s_median,total_s_mean,total_s_median,density_1024_entropy_norm_mean,density_1024_entropy_norm_median,density_1024_std_mean,density_1024_std_median,density_1024_gini_mean,density_1024_gini_median
full_eval,density_fft,mass,87,12,0.0078125,,,,,1,2.2287771701812744,2.2287771701812744,,1,0.01786041259765625,0.01786041259765625,,1,0.014865875244140625,0.014865875244140625,,1,0.0023726870953483525,0.0023726870953483525,,1,0.0039335788110261925,0.0039335788110261925,,0.002441250951960683,0.002441250951960683,0.00023937388323247433,0.00023937388323247433,0.23468759888783097,0.23468759888783097,,,0.23750039795413613,0.23750039795413613,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
full_eval,density_fft,mass,130,11,0.01171875,,,,,1,2.0358433723449707,2.0358433723449707,,1,0.01653289794921875,0.01653289794921875,,1,0.008666038513183594,0.008666038513183594,,1,0.0035483392392629378,0.0035483392392629378,,1,0.0038585429011207383,0.0038585429011207383,,0.0022806909400969744,0.0022806909400969744,0.0002396940253674984,0.0002396940253674984,0.2346998918801546,0.2346998918801546,,,0.23735872493125498,0.23735872493125498,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
full_eval,density_fft,mass,173,10,0.015625,,,,,1,1.8891401290893555,1.8891401290893555,,1,0.01604461669921875,0.01604461669921875,,1,0.012187957763671875,0.012187957763671875,,1,0.0032674414196489504,0.0032674414196489504,,1,0.003345106740514378,0.003345106740514378,,0.0024594669230282307,0.0024594669230282307,0.0002374490723013878,0.0002374490723013878,0.23480971599929035,0.23480971599929035,,,0.23763974802568555,0.23763974802568555,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
full_eval,density_fft,mass,260,9,0.0234375,,,,,1,1.7570472955703735,1.7570472955703735,,1,0.016384124755859375,0.016384124755859375,,1,0.009013175964355469,0.009013175964355469,,1,0.0026637468479126037,0.0026637468479126037,,1,0.00274853798429552,0.00274853798429552,,0.002469695871695876,0.002469695871695876,0.00023937411606311798,0.00023937411606311798,0.2347867910284549,0.2347867910284549,,,0.2376288566738367,0.2376288566738367,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
full_eval,density_fft,mass,346,8,0.03125,,,,,1,1.6020551919937134,1.6020551919937134,,1,0.014835357666015625,0.014835357666015625,,1,0.0075626373291015625,0.0075626373291015625,,1,0.0027175153722021656,0.0027175153722021656,,1,0.002642299897385072,0.002642299897385072,,0.002258467022329569,0.002258467022329569,0.000284841051325202,0.000284841051325202,0.23489745403639972,0.23489745403639972,,,0.2375937181059271,0.2375937181059271,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
full_eval,density_fft,mass,520,7,0.046875,,,,,1,1.4667119979858398,1.4667119979858398,,1,0.01331329345703125,0.01331329345703125,,1,0.005390167236328125,0.005390167236328125,,1,0.003275793417591538,0.003275793417591538,,1,0.003263204809649578,0.003263204809649578,,0.0024762891698628664,0.0024762891698628664,0.0002445629797875881,0.0002445629797875881,0.23548820707947016,0.23548820707947016,,,0.23834204603917897,0.23834204603917897,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
full_eval,density_fft,mass,693,6,0.0625,,,,,1,1.3955796957015991,1.3955796957015991,,1,0.013765335083007812,0.013765335083007812,,1,0.0061130523681640625,0.0061130523681640625,,1,0.00322862531613022,0.00322862531613022,,1,0.0031301803298057203,0.0031301803298057203,,0.002332191215828061,0.002332191215828061,0.00024114595726132393,0.00024114595726132393,0.23591640498489141,0.23591640498489141,,,0.23862745938822627,0.23862745938822627,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
full_eval,density_fft,mass,1039,5,0.09375,,,,,1,1.329252004623413,1.329252004623413,,1,0.014814376831054688,0.014814376831054688,,1,0.0064296722412109375,0.0064296722412109375,,1,0.002995788559689588,0.002995788559689588,,1,0.002993186925244717,0.002993186925244717,,0.002477250061929226,0.002477250061929226,0.0002487008459866047,0.0002487008459866047,0.2383975638076663,0.2383975638076663,,,0.24125592107884586,0.24125592107884586,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
full_eval,density_fft,mass,1385,4,0.125,,,,,1,1.202940821647644,1.202940821647644,,1,0.012907028198242188,0.012907028198242188,,1,0.004492759704589844,0.004492759704589844,,1,0.003189712969639566,0.003189712969639566,,1,0.003163698811544785,0.003163698811544785,,0.0024660800117999315,0.0024660800117999315,0.00033914600498974323,0.00033914600498974323,0.24031323799863458,0.24031323799863458,,,0.24325268412940204,0.24325268412940204,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
full_eval,density_fft,mass,2078,3,0.1875,,,,,1,1.1722356081008911,1.1722356081008911,,1,0.014667510986328125,0.014667510986328125,,1,0.0059947967529296875,0.0059947967529296875,,1,0.0021935004951539124,0.0021935004951539124,,1,0.0022042459772913807,0.0022042459772913807,,0.0025536390021443367,0.0025536390021443367,0.0008336328901350498,0.0008336328901350498,0.24862232920713723,0.24862232920713723,,,0.25214564288035035,0.25214564288035035,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
